n_dcs,status,total_cost,fixed_cost,transport_cost,avg_dist_km,open_dcs,marginal_saving,marginal_saving_%
1,Infeasible,8191386.328365601,40000,8305381.810829843,3313.887452670954,RR,3009057.0024970537,0.0
2,Infeasible,5182329.325868547,40000,4990342.055878542,1913.876718991323,RR,2854368.69016237,34.8
3,Infeasible,2327960.635706177,360000,1998880.089006177,222.88974881806388,"MG, PR, SP",1280475.9910666218,24.7
4,Optimal,1047484.6446395551,405000,642484.6446395548,267.3623806008236,"MG, PR, SE, SP",21774.819004888297,0.9
5,Optimal,1025709.8256346668,525000,500709.8256346668,208.36446767846377,"MG, RJ, SC, SE, SP",14263.63510941097,1.4
6,Optimal,1011446.1905252559,575000,436446.1905252557,181.62191653383053,"MG, PI, RJ, SC, SE, SP",-98.8346969409613,-0.0
7,Optimal,1011545.0252221968,655000,356545.02522219665,148.37199228048036,"GO, MG, PI, RJ, SC, SE, SP",-25738.594682806055,-2.5
8,Optimal,1037283.6199050029,695000,342283.61990500294,142.43727725167636,"AP, GO, MG, PB, RJ, SC, SE, SP",0.0,0.0
